name,cuisine,tags,calories,protein_g,carbs_g,fat_g,prep_time_min,cost_ghs,ingredients,instructions,image_url
Banku and Grilled Tilapia,Ghanaian,"ghanaian,high-protein,main",650,42,60,22,45,55.0,"[{""name"": ""Banku dough"", ""qty"": 300, ""unit"": ""g"", ""cost_ghs"": 18.0}, {""name"": ""Tilapia"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 33.0}, {""name"": ""Pepper sauce"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 4.0}]",1. Boil banku dough until smooth. 2. Grill tilapia with salt and pepper. 3. Serve with pepper sauce.,/images/banku-tilapia.jpg
Waakye with Egg and Spaghetti,Ghanaian,"ghanaian,cheap,main",720,28,95,18,60,27.0,"[{""name"": ""Rice"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 9.0}, {""name"": ""Beans"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 7.0}, {""name"": ""Egg"", ""qty"": 1, ""unit"": ""pc"", ""cost_ghs"": 4.0}, {""name"": ""Spaghetti"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 7.0}]",1. Cook rice and beans with waakye leaves. 2. Boil egg and spaghetti. 3. Serve together.,/images/waakye.jpg
Jollof Rice with Chicken,Ghanaian,"ghanaian,popular,main",780,35,85,28,50,44.0,"[{""name"": ""Rice"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 9.0}, {""name"": ""Chicken"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 26.0}, {""name"": ""Tomato stew"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 9.0}]",1. Fry chicken. 2. Cook rice in tomato stew. 3. Combine and steam.,/images/jollof-chicken.jpg
Fufu and Light Soup,Ghanaian,"ghanaian,traditional,main",820,40,90,25,60,49.0,"[{""name"": ""Cassava"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 13.0}, {""name"": ""Plantain"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 7.0}, {""name"": ""Goat meat"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 29.0}]",1. Pound fufu. 2. Cook light soup with meat and spices.,/images/fufu-soup.jpg
Kontomire Stew with Boiled Yam,Ghanaian,"ghanaian,vegetarian,healthy",480,12,65,18,35,33.0,"[{""name"": ""Kontomire leaves"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 11.0}, {""name"": ""Yam"", ""qty"": 300, ""unit"": ""g"", ""cost_ghs"": 18.0}, {""name"": ""Palm oil"", ""qty"": 20, ""unit"": ""ml"", ""cost_ghs"": 4.0}]",1. Boil yam. 2. Cook kontomire with palm oil and spices.,/images/kontomire-yam.jpg
Kelewele with Peanuts,Ghanaian,"ghanaian,snack,cheap",350,6,45,16,15,18.0,"[{""name"": ""Plantain"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 11.0}, {""name"": ""Peanuts"", ""qty"": 30, ""unit"": ""g"", ""cost_ghs"": 7.0}]",1. Dice plantain. 2. Season and fry. 3. Serve with roasted peanuts.,/images/kelewele.jpg
Red Red with Fried Plantain,Ghanaian,"ghanaian,vegetarian,cheap",600,18,80,22,40,24.0,"[{""name"": ""Black eyed peas"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 11.0}, {""name"": ""Plantain"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 9.0}, {""name"": ""Palm oil"", ""qty"": 20, ""unit"": ""ml"", ""cost_ghs"": 4.0}]",1. Cook beans in palm oil stew. 2. Fry plantain. 3. Serve together.,/images/red-red.jpg
Groundnut Soup with Rice Balls,Ghanaian,"ghanaian,high-protein,main",750,30,85,28,50,39.0,"[{""name"": ""Peanut butter"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 13.0}, {""name"": ""Chicken"", ""qty"": 120, ""unit"": ""g"", ""cost_ghs"": 22.0}, {""name"": ""Rice flour"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 4.0}]",1. Cook groundnut soup. 2. Form rice balls and boil.,/images/groundnut-soup.jpg
Tuo Zaafi with Okra Soup,Ghanaian,"ghanaian,traditional,main",680,25,80,22,45,36.0,"[{""name"": ""Corn meal"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 9.0}, {""name"": ""Okra"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 7.0}, {""name"": ""Beef"", ""qty"": 120, ""unit"": ""g"", ""cost_ghs"": 20.0}]",1. Cook TZ. 2. Prepare okra soup with beef.,/images/tz-okra.jpg
Shito with Boiled Rice,Ghanaian,"ghanaian,cheap,quick",550,15,75,20,20,22.0,"[{""name"": ""Rice"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 9.0}, {""name"": ""Shito"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 13.0}]",1. Boil rice. 2. Serve with shito.,/images/rice-shito.jpg
