name,cuisine,tags,calories,protein_g,carbs_g,fat_g,prep_time_min,cost_ghs,ingredients,instructions,image_url
Banku and Grilled Tilapia,Ghanaian,"ghanaian,high-protein,main",650,42,60,22,45,55.0,"[{""name"":""Banku dough"",""qty"":300,""unit"":""g"",""cost_ghs"":18.0},{""name"":""Tilapia"",""qty"":200,""unit"":""g"",""cost_ghs"":33.0},{""name"":""Pepper sauce"",""qty"":50,""unit"":""g"",""cost_ghs"":4.0}]","1. Boil banku dough until smooth. 2. Grill tilapia with salt and pepper. 3. Serve with pepper sauce.","/images/banku-tilapia.jpg"
Waakye with Egg and Spaghetti,Ghanaian,"ghanaian,cheap,main",720,28,95,18,60,26.0,"[{""name"":""Rice"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Beans"",""qty"":100,""unit"":""g"",""cost_ghs"":7.0},{""name"":""Egg"",""qty"":1,""unit"":""pc"",""cost_ghs"":4.0},{""name"":""Spaghetti"",""qty"":50,""unit"":""g"",""cost_ghs"":7.0}]","1. Cook rice and beans with waakye leaves. 2. Boil egg and spaghetti. 3. Serve together.","/images/waakye.jpg"
Jollof Rice with Chicken,Ghanaian,"ghanaian,popular,main",780,35,85,28,50,44.0,"[{""name"":""Rice"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Chicken"",""qty"":150,""unit"":""g"",""cost_ghs"":26.0},{""name"":""Tomato stew"",""qty"":100,""unit"":""g"",""cost_ghs"":9.0}]","1. Fry chicken. 2. Cook rice in tomato stew. 3. Combine and steam.","/images/jollof-chicken.jpg"
Fufu and Light Soup,Ghanaian,"ghanaian,traditional,main",820,40,90,25,60,48.0,"[{""name"":""Cassava"",""qty"":200,""unit"":""g"",""cost_ghs"":13.0},{""name"":""Plantain"",""qty"":100,""unit"":""g"",""cost_ghs"":7.0},{""name"":""Goat meat"",""qty"":150,""unit"":""g"",""cost_ghs"":29.0}]","1. Pound fufu. 2. Cook light soup with meat and spices.","/images/fufu-soup.jpg"
Kontomire Stew with Boiled Yam,Ghanaian,"ghanaian,vegetarian,healthy",480,12,65,18,35,33.0,"[{""name"":""Kontomire leaves"",""qty"":200,""unit"":""g"",""cost_ghs"":11.0},{""name"":""Yam"",""qty"":300,""unit"":""g"",""cost_ghs"":18.0},{""name"":""Palm oil"",""qty"":20,""unit"":""ml"",""cost_ghs"":4.0}]","1. Boil yam. 2. Cook kontomire with palm oil and spices.","/images/kontomire-yam.jpg"
Kelewele with Peanuts,Ghanaian,"ghanaian,snack,cheap",350,6,45,16,15,18.0,"[{""name"":""Plantain"",""qty"":200,""unit"":""g"",""cost_ghs"":11.0},{""name"":""Peanuts"",""qty"":30,""unit"":""g"",""cost_ghs"":7.0}]","1. Dice plantain. 2. Season and fry. 3. Serve with roasted peanuts.","/images/kelewele.jpg"
Red Red with Fried Plantain,Ghanaian,"ghanaian,vegetarian,cheap",600,18,80,22,40,31.0,"[{""name"":""Black eyed peas"",""qty"":150,""unit"":""g"",""cost_ghs"":11.0},{""name"":""Plantain"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Palm oil"",""qty"":20,""unit"":""ml"",""cost_ghs"":4.0}]","1. Cook beans in palm oil stew. 2. Fry plantain. 3. Serve together.","/images/red-red.jpg"
Groundnut Soup with Rice Balls,Ghanaian,"ghanaian,high-protein,main",750,30,85,28,50,40.0,"[{""name"":""Peanut butter"",""qty"":50,""unit"":""g"",""cost_ghs"":13.0},{""name"":""Chicken"",""qty"":120,""unit"":""g"",""cost_ghs"":22.0},{""name"":""Rice flour"",""qty"":150,""unit"":""g"",""cost_ghs"":4.0}]","1. Cook groundnut soup. 2. Form rice balls and boil.","/images/groundnut-soup.jpg"
Tuo Zaafi with Okra Soup,Ghanaian,"ghanaian,traditional,main",680,25,80,22,45,35.0,"[{""name"":""Corn meal"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Okra"",""qty"":100,""unit"":""g"",""cost_ghs"":7.0},{""name"":""Beef"",""qty"":120,""unit"":""g"",""cost_ghs"":20.0}]","1. Cook TZ. 2. Prepare okra soup with beef.","/images/tz-okra.jpg"
Shito with Boiled Rice,Ghanaian,"ghanaian,cheap,quick",550,15,75,20,20,22.0,"[{""name"":""Rice"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Shito"",""qty"":50,""unit"":""g"",""cost_ghs"":13.0}]","1. Boil rice. 2. Serve with shito.","/images/rice-shito.jpg"
Grilled Chicken and Fried Rice,Ghanaian,"ghanaian,popular,main",820,45,70,32,40,48.0,"[{""name"":""Rice"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Chicken"",""qty"":180,""unit"":""g"",""cost_ghs"":31.0},{""name"":""Vegetables"",""qty"":100,""unit"":""g"",""cost_ghs"":9.0}]","1. Fry rice with veggies. 2. Grill chicken.","/images/chicken-fried-rice.jpg"
Boiled Yam and Garden Egg Stew,Ghanaian,"ghanaian,vegetarian,healthy",420,8,60,15,30,26.0,"[{""name"":""Yam"",""qty"":300,""unit"":""g"",""cost_ghs"":18.0},{""name"":""Garden eggs"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0}]","1. Boil yam. 2. Cook garden egg stew.","/images/yam-garden-egg.jpg"
Kenkey with Fried Fish,Ghanaian,"ghanaian,traditional,main",600,30,65,20,40,40.0,"[{""name"":""Kenkey"",""qty"":2,""unit"":""pc"",""cost_ghs"":13.0},{""name"":""Mackerel"",""qty"":150,""unit"":""g"",""cost_ghs"":26.0}]","1. Heat kenkey. 2. Fry fish. 3. Serve with pepper.","/images/kenkey-fish.jpg"
Beans Stew with Gari,Ghanaian,"ghanaian,cheap,high-protein",580,22,70,18,35,24.0,"[{""name"":""Beans"",""qty"":150,""unit"":""g"",""cost_ghs"":11.0},{""name"":""Gari"",""qty"":100,""unit"":""g"",""cost_ghs"":7.0},{""name"":""Palm oil"",""qty"":15,""unit"":""ml"",""cost_ghs"":4.0}]","1. Cook beans stew. 2. Serve with gari.","/images/beans-gari.jpg"
Plain Rice and Egg Stew,Ghanaian,"ghanaian,quick,cheap",500,15,70,15,25,20.0,"[{""name"":""Rice"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Eggs"",""qty"":2,""unit"":""pc"",""cost_ghs"":9.0},{""name"":""Tomato"",""qty"":100,""unit"":""g"",""cost_ghs"":2.0}]","1. Boil rice. 2. Cook egg stew.","/images/rice-egg-stew.jpg"
Grilled Tilapia and Attieke,Ivorian,"west-african,high-protein",620,38,55,22,35,53.0,"[{""name"":""Tilapia"",""qty"":200,""unit"":""g"",""cost_ghs"":33.0},{""name"":""Attieke"",""qty"":150,""unit"":""g"",""cost_ghs"":15.0}]","1. Grill tilapia. 2. Steam attieke. 3. Serve with salad.","/images/tilapia-attieke.jpg"
Hausa Koko and Koose,Ghanaian,"ghanaian,breakfast,cheap",380,12,55,12,30,15.0,"[{""name"":""Millet"",""qty"":100,""unit"":""g"",""cost_ghs"":7.0},{""name"":""Beans"",""qty"":100,""unit"":""g"",""cost_ghs"":9.0}]","1. Cook millet porridge. 2. Fry bean cakes.","/images/koko-koose.jpg"
Fried Yam and Chicken,Ghanaian,"ghanaian,snack,main",700,32,60,30,25,40.0,"[{""name"":""Yam"",""qty"":200,""unit"":""g"",""cost_ghs"":13.0},{""name"":""Chicken"",""qty"":150,""unit"":""g"",""cost_ghs"":26.0}]","1. Fry yam. 2. Grill chicken.","/images/fried-yam-chicken.jpg"
Okro Stew with Banku,Ghanaian,"ghanaian,healthy,main",550,20,60,18,40,33.0,"[{""name"":""Okra"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Banku dough"",""qty"":250,""unit"":""g"",""cost_ghs"":15.0},{""name"":""Fish"",""qty"":100,""unit"":""g"",""cost_ghs"":9.0}]","1. Cook okra stew. 2. Serve with banku.","/images/okra-banku.jpg"
Plain Noodles and Egg,Nigerian,"west-african,quick,cheap",450,12,65,12,10,18.0,"[{""name"":""Noodles"",""qty"":100,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Egg"",""qty"":1,""unit"":""pc"",""cost_ghs"":4.0},{""name"":""Vegetables"",""qty"":50,""unit"":""g"",""cost_ghs"":4.0}]","1. Boil noodles. 2. Stir fry with egg and veg.","/images/noodles-egg.jpg"
Grilled Chicken Wrap,International,"quick,high-protein",480,35,40,18,15,35.0,"[{""name"":""Tortilla"",""qty"":1,""unit"":""pc"",""cost_ghs"":7.0},{""name"":""Chicken"",""qty"":120,""unit"":""g"",""cost_ghs"":22.0},{""name"":""Veg"",""qty"":50,""unit"":""g"",""cost_ghs"":7.0}]","1. Grill chicken. 2. Wrap with veg in tortilla.","/images/chicken-wrap.jpg"
Vegetable Stir Fry with Rice,International,"vegetarian,healthy,quick",420,10,60,12,20,26.0,"[{""name"":""Rice"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Mixed veg"",""qty"":200,""unit"":""g"",""cost_ghs"":13.0},{""name"":""Soy sauce"",""qty"":10,""unit"":""ml"",""cost_ghs"":4.0}]","1. Boil rice. 2. Stir fry vegetables.","/images/veg-stir-fry.jpg"
Spaghetti Bolognese,International,"popular,main",720,30,80,25,30,40.0,"[{""name"":""Spaghetti"",""qty"":150,""unit"":""g"",""cost_ghs"":11.0},{""name"":""Minced beef"",""qty"":120,""unit"":""g"",""cost_ghs"":22.0},{""name"":""Tomato sauce"",""qty"":100,""unit"":""g"",""cost_ghs"":7.0}]","1. Cook spaghetti. 2. Make meat sauce. 3. Combine.","/images/spaghetti-bolognese.jpg"
Egg Fried Rice,International,"quick,cheap,main",560,15,70,20,15,22.0,"[{""name"":""Rice"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Eggs"",""qty"":2,""unit"":""pc"",""cost_ghs"":9.0},{""name"":""Veg"",""qty"":50,""unit"":""g"",""cost_ghs"":4.0}]","1. Fry rice with egg and vegetables.","/images/egg-fried-rice.jpg"
Grilled Salmon with Vegetables,International,"high-protein,healthy",580,42,20,28,25,62.0,"[{""name"":""Salmon"",""qty"":150,""unit"":""g"",""cost_ghs"":48.0},{""name"":""Vegetables"",""qty"":150,""unit"":""g"",""cost_ghs"":13.0}]","1. Grill salmon. 2. Steam vegetables.","/images/salmon-veg.jpg"
Chicken Curry with Rice,International,"spicy,main",700,35,75,25,40,35.0,"[{""name"":""Rice"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Chicken"",""qty"":150,""unit"":""g"",""cost_ghs"":22.0},{""name"":""Curry paste"",""qty"":20,""unit"":""g"",""cost_ghs"":4.0}]","1. Cook chicken curry. 2. Serve with rice.","/images/chicken-curry.jpg"
Vegetable Omelette and Toast,International,"breakfast,quick,cheap",320,15,25,18,10,18.0,"[{""name"":""Eggs"",""qty"":2,""unit"":""pc"",""cost_ghs"":9.0},{""name"":""Bread"",""qty"":2,""unit"":""slices"",""cost_ghs"":4.0},{""name"":""Veg"",""qty"":50,""unit"":""g"",""cost_ghs"":4.0}]","1. Make omelette with veg. 2. Toast bread.","/images/omelette-toast.jpg"
Beef Stew with Mashed Potato,International,"comfort,main",650,30,50,28,45,44.0,"[{""name"":""Beef"",""qty"":150,""unit"":""g"",""cost_ghs"":26.0},{""name"":""Potato"",""qty"":200,""unit"":""g"",""cost_ghs"":11.0},{""name"":""Gravy"",""qty"":50,""unit"":""g"",""cost_ghs"":7.0}]","1. Cook beef stew. 2. Mash potatoes.","/images/beef-mash.jpg"
Greek Salad with Grilled Chicken,International,"salad,high-protein,healthy",420,35,15,22,15,40.0,"[{""name"":""Chicken"",""qty"":120,""unit"":""g"",""cost_ghs"":22.0},{""name"":""Salad veg"",""qty"":150,""unit"":""g"",""cost_ghs"":13.0},{""name"":""Feta"",""qty"":30,""unit"":""g"",""cost_ghs"":4.0}]","1. Grill chicken. 2. Toss salad.","/images/greek-salad.jpg"
Tuna Sandwich,International,"quick,cheap,high-protein",380,25,35,15,10,22.0,"[{""name"":""Bread"",""qty"":2,""unit"":""slices"",""cost_ghs"":4.0},{""name"":""Tuna"",""qty"":100,""unit"":""g"",""cost_ghs"":13.0},{""name"":""Mayo"",""qty"":15,""unit"":""g"",""cost_ghs"":4.0}]","1. Mix tuna with mayo. 2. Make sandwich.","/images/tuna-sandwich.jpg"
Grilled Chicken and Jollof,Ghanaian,"ghanaian,popular,main",790,38,80,28,45,46.0,"[{""name"":""Rice"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Chicken"",""qty"":150,""unit"":""g"",""cost_ghs"":26.0},{""name"":""Tomato stew"",""qty"":100,""unit"":""g"",""cost_ghs"":11.0}]","1. Cook jollof rice. 2. Grill chicken.","/images/chicken-jollof.jpg"
Boiled Yam and Grilled Fish,Ghanaian,"ghanaian,healthy,main",520,32,55,18,35,35.0,"[{""name"":""Yam"",""qty"":250,""unit"":""g"",""cost_ghs"":15.0},{""name"":""Mackerel"",""qty"":150,""unit"":""g"",""cost_ghs"":20.0}]","1. Boil yam. 2. Grill fish.","/images/yam-fish.jpg"
Tatale and Beans,Ghanaian,"ghanaian,breakfast,cheap",420,14,60,14,25,20.0,"[{""name"":""Ripe plantain"",""qty"":200,""unit"":""g"",""cost_ghs"":11.0},{""name"":""Beans"",""qty"":100,""unit"":""g"",""cost_ghs"":9.0}]","1. Fry tatale. 2. Cook beans.","/images/tatale-beans.jpg"
Plain Rice and Grilled Tilapia,Ghanaian,"ghanaian,high-protein,main",600,40,50,22,30,44.0,"[{""name"":""Rice"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Tilapia"",""qty"":180,""unit"":""g"",""cost_ghs"":35.0}]","1. Boil rice. 2. Grill tilapia.","/images/rice-tilapia.jpg"
Banku and Okro Stew,Ghanaian,"ghanaian,traditional,main",580,18,70,20,40,33.0,"[{""name"":""Banku dough"",""qty"":250,""unit"":""g"",""cost_ghs"":15.0},{""name"":""Okra"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Fish"",""qty"":100,""unit"":""g"",""cost_ghs"":9.0}]","1. Cook banku. 2. Prepare okro stew.","/images/banku-okro.jpg"
Spaghetti and Egg Stew,Ghanaian,"ghanaian,quick,cheap",550,18,70,18,20,24.0,"[{""name"":""Spaghetti"",""qty"":150,""unit"":""g"",""cost_ghs"":11.0},{""name"":""Eggs"",""qty"":2,""unit"":""pc"",""cost_ghs"":9.0},{""name"":""Tomato"",""qty"":100,""unit"":""g"",""cost_ghs"":4.0}]","1. Boil spaghetti. 2. Cook egg stew.","/images/spaghetti-egg.jpg"
Fried Rice with Chicken,Ghanaian,"ghanaian,popular,main",760,35,70,28,30,42.0,"[{""name"":""Rice"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Chicken"",""qty"":150,""unit"":""g"",""cost_ghs"":26.0},{""name"":""Mixed veg"",""qty"":100,""unit"":""g"",""cost_ghs"":7.0}]","1. Fry rice with veg and chicken.","/images/fried-rice-chicken.jpg"
